NIS code;Woonplaats;Mannen;Vrouwen;Totaal
24130;Zoutleeuw;4274;4394;8668
24133;Linter;3608;3709;7317
24134;Scherpenheuvel-Zichem;11717;11988;23705
24135;Tielt-Winge;5704;5736;11440
24137;Glabbeek;2665;2761;5426
25000;Arrondissement Nijvel;200139;212795;412934
25005;Bevekom;3566;3666;7232
25014;Eigenbrakel;19468;21001;40469
25015;Kasteelbrakel;5208;5463;10671
25018;Chaumont-Gistoux;5768;6045;11813
25023;Court-Saint-Etienne;5244;5506;10750
25031;Genepiën;7853;8062;15915
25037;Graven;6842;7225;14067
25043;Incourt;2778;2836;5614
25044;Itter;3426;3613;7039
25048;Geldenaken;7203;7586;14789
25050;Terhulpen;3641;3923;7564
25068;Mont-Saint-Guibert;4108;4253;8361
25072;Nijvel;13809;15209;29018
25084;Perwijs (Nijvel);4669;4970;9639
25091;Rixensart;11021;12094;23115
25105;Tubeke;13648;14409;28057
25107;Villers-la-Ville;5477;5641;11118
25110;Waterloo;14426;16051;30477
25112;Waver;17081;18363;35444
25117;Chastre;3789;3953;7742
25118;Hélécine;1878;1911;3789
25119;Lasne;6998;7315;14313
25120;Orp-Jauche;4471;4626;9097
25121;Ottignies-Louvain-la-Neuve;15241;16285;31526
25122;Ramillies;3300;3367;6667
25123;Rebecq;5481;5600;11081
25124;Walhain;3745;3822;7567
30000;Provincie West-Vlaanderen;604831;615195;1220026
31000;Arrondissement Brugge;140574;145063;285637
31003;Beernem;8206;7925;16131
31004;Blankenberge;10098;10413;20511
31005;Brugge;58311;61230;119541
31006;Damme;5507;5639;11146
31012;Jabbeke;7230;7309;14539
31022;Oostkamp;12041;12159;24200
31033;Torhout;10375;10407;20782
31040;Zedelgem;11678;11713;23391
31042;Zuienkerke;1389;1362;2751
31043;Knokke-Heist;15739;16906;32645
32000;Arrondissement Diksmuide;26292;26194;52486
32003;Diksmuide;8573;8601;17174
32006;Houthulst;5203;5129;10332
32010;Koekelare;4436;4434;8870
32011;Kortemark;6439;6434;12873
32030;Lo-Reninge;1641;1596;3237
33000;Arrondissement Ieper;53911;53929;107840
33011;Ieper;17471;17916;35387
33016;Mesen;549;525;1074
33021;Poperinge;9918;10029;19947
33029;Wervik;9583;9607;19190
33037;Zonnebeke;6386;6272;12658
33039;Heuvelland;4098;3860;7958
33040;Langemark-Poelkapelle;4055;3960;8015
33041;Vleteren;1851;1760;3611
34000;Arrondissement Kortrijk;148303;151432;299735
34002;Anzegem;7635;7587;15222
34003;Avelgem;5081;5238;10319
34009;Deerlijk;6195;6366;12561
34013;Harelbeke;14738;14836;29574
34022;Kortrijk;38939;40005;78944
34023;Kuurne;6905;7128;14033
34025;Lendelede;2895;2968;5863
34027;Menen;17054;17268;34322
34040;Waregem;19420;20068;39488
34041;Wevelgem;15743;16052;31795
34042;Zwevegem;12712;12846;25558
34043;Spiere-Helkijn;986;1070;2056
35000;Arrondissement Oostende;78725;80599;159324
35002;Bredene;8942;9139;18081
35005;Gistel;6068;6197;12265
35006;Ichtegem;7233;7122;14355
35011;Middelkerke;9817;9938;19755
35013;Oostende;35466;36709;72175
35014;Oudenburg;4974;4937;9911
35029;De Haan;6225;6557;12782
36000;Arrondissement Roeselare;78870;79233;158103
36006;Hooglede;5149;4993;10142
36007;Ingelmunster;5672;5782;11454
36008;Izegem;14273;14740;29013
36010;Ledegem;4862;4908;9770
36011;Lichtervelde;4619;4547;9166
36012;Moorslede;5708;5743;11451
36015;Roeselare;32662;32806;65468
36019;Staden;5925;5714;11639
37000;Arrondissement Tielt;47774;47408;95182
37002;Dentergem;4331;4301;8632
37007;Meulebeke;5581;5519;11100
37010;Oostrozebeke;4010;4011;8021
37011;Pittem;3443;3391;6834
37012;Ruiselede;2750;2754;5504
37015;Tielt (Tielt);10373;10328;20701
37017;Wielsbeke;5046;4967;10013
37018;Wingene;7582;7457;15039
37020;Ardooie;4658;4680;9338
38000;Arrondissement Veurne;30382;31337;61719
38002;Alveringem;2609;2445;5054
38008;De Panne;5456;5633;11089
38014;Koksijde;10600;11064;21664
38016;Nieuwpoort;5645;5848;11493
38025;Veurne;6072;6347;12419
40000;Provincie Oost-Vlaanderen;771832;789484;1561316
41000;Arrondissement Aalst;148509;153683;302192
41002;Aalst (Aalst);44140;45928;90068
41011;Denderleeuw;10265;10708;20973
41018;Geraardsbergen;17127;17597;34724
41024;Haaltert;9545;9736;19281
41027;Herzele;9228;9487;18715
41034;Lede;9462;9698;19160
41048;Ninove;19707;20386;40093
41063;Sint-Lievens-Houtem;5307;5351;10658
41081;Zottegem;13467;14210;27677
41082;Erpe-Mere;10261;10582;20843
42000;Arrondissement Dendermonde;101637;104692;206329
42003;Berlare;7597;7849;15446
42004;Buggenhout;7350;7537;14887
42006;Dendermonde;22930;23986;46916
42008;Hamme (Dendermonde);12473;12895;25368
42010;Laarne;6190;6338;12528
42011;Lebbeke;9831;10094;19925
42023;Waasmunster;5592;5585;11177
42025;Wetteren;13103;13645;26748
42026;Wichelen;5938;6022;11960
42028;Zele;10633;10741;21374
43000;Arrondissement Eeklo;44261;44301;88562
43002;Assenede;7230;7406;14636
43005;Eeklo;10982;11158;22140
43007;Kaprijke;3299;3288;6587
43010;Maldegem;12302;12313;24615
43014;Sint-Laureins;3584;3457;7041
43018;Zelzate;6864;6679;13543
44000;Arrondissement Gent;284992;289844;574836
44012;De Pinte;5417;5699;11116
44013;Destelbergen;9351;9746;19097
44019;Evergem;17978;18579;36557
44020;Gavere;6543;6674;13217
44021;Gent;133750;134372;268122
44034;Lochristi;11424;11649;23073
44040;Melle;5796;6164;11960
44043;Merelbeke;12402;12798;25200
44045;Moerbeke (Gent);3306;3418;6724
44048;Nazareth;6004;6210;12214
44052;Oosterzele;7035;6989;14024
44064;Sint-Martens-Latem;3987;4270;8257
44073;Wachtebeke;3888;3949;7837
44081;Zulte;8060;7940;16000
44083;Deinze;22096;22834;44930
44084;Aalter;14764;14765;29529
44085;Lievegem;13191;13788;26979
45000;Arrondissement Oudenaarde;63006;64437;127443
45035;Oudenaarde;16082;16400;32482
45041;Ronse;13310;13765;27075
45059;Brakel;7413;7594;15007
45060;Kluisbergen;3408;3466;6874
45061;Wortegem-Petegem;3277;3275;6552
45062;Horebeke;969;1067;2036
45063;Lierde;3403;3402;6805
45064;Maarkedal;3088;3252;6340
45065;Zwalm;4121;4199;8320
45068;Kruisem;7935;8017;15952
46000;Arrondissement Sint-Niklaas;129427;132527;261954
46003;Beveren (Sint-Niklaas);24904;25396;50300
46013;Kruibeke;8410;8646;17056
46014;Lokeren;21356;21708;43064
46020;Sint-Gillis-Waas;9879;10053;19932
46021;Sint-Niklaas (Sint-Niklaas);39846;41292;81138
46024;Stekene;9529;9744;19273
46025;Temse;15503;15688;31191
50000;Provincie Henegouwen;661588;695307;1356895
51000;Arrondissement Aat;63764;66394;130158
51004;Aat;14487;15459;29946
51008;Beloeil;7053;7236;14289
51009;Bernissart;5805;6127;11932
51012;Brugelette;1876;1947;3823
51014;Chièvres;3477;3568;7045
51017;Elzele;2975;2994;5969
51019;Vloesberg;1714;1708;3422
51065;Frasnes-lez-Anvaing;5944;6156;12100
51067;Edingen;6933;7414;14347
51068;Opzullik;4184;4236;8420
51069;Lessen;9316;9549;18865
52000;Arrondissement Charleroi;193861;204698;398559
52010;Chapelle-lez-Herlaimont;7135;7681;14816
52011;Charleroi;99772;104013;203785
52012;Châtelet;17094;18418;35512
52015;Courcelles;15184;16115;31299
52018;Farciennes;5491;5844;11335
52021;Fleurus;11037;11795;22832
52022;Fontaine-l’Evêque;8745;9296;18041
52025;Gerpinnes;6188;6643;12831
52048;Montigny-le-Tilleul;4766;5350;10116
52055;Pont-à-Celles;8543;9006;17549
52074;Aiseau-Presles;5273;5630;10903
52075;Les Bons Villers;4633;4907;9540
53000;Arrondissement Bergen;126409;134288;260697
53014;Boussu;9572;10524;20096
53020;Dour;8037;8541;16578
53028;Frameries;10331;11461;21792
53039;Hensies;3261;3536;6797
53044;Jurbeke;5287;5579;10866
53046;Lens;2271;2407;4678
53053;Bergen;47321;49144;96465
53065;Quaregnon;9120;9876;18996
53068;Quiévrain;3336;3516;6852
53070;Saint-Ghislain;11412;12253;23665
53082;Colfontaine;9965;10694;20659
53083;Honnelles;2540;2608;5148
53084;Quévy;3956;4149;8105
55000;Arrondissement Zinnik;52630;54988;107618
55004;’s Gravenbrakel;11362;11771;23133
55035;Le Roeulx;4332;4480;8812
55040;Zinnik;13929;14812;28741
55050;Ecaussinnes;5641;5843;11484
55085;Seneffe;5581;5939;11520
55086;Manage;11785;12143;23928
56000;Arrondissement Thuin;45568;47041;92609
56001;Anderlues;6188;6413;12601
56005;Beaumont;3585;3581;7166
56016;Chimay;4839;4877;9716
56022;Erquelinnes;4954;5089;10043
56029;Froidchapelle;2044;2009;4053
56044;Lobbes;2889;3030;5919
56049;Merbes-le-Château;2115;2109;4224
56051;Momignies;2633;2663;5296
56078;Thuin;7258;7664;14922
56086;Ham-sur-Heure-Nalinnes;6644;7167;13811
56088;Sivry-Rance;2419;2439;4858
57000;Arrondissement Doornik-Moeskroen;110334;114707;225041
57003;Antoing;3757;3882;7639
57018;Celles (Doornik);2835;2849;5684
57027;Estaimpuis;5244;5378;10622
57062;Pecq;2883;3018;5901
57064;Péruwelz;8458;8777;17235
57072;Rumes;2623;2675;5298
57081;Doornik;33807;34903;68710
57093;Brunehaut;4046;4106;8152
57094;Leuze-en-Hainaut;6829;7268;14097
57095;Mont-de-l’Enclus;1915;1889;3804
57096;Moeskroen;28984;30579;59563
57097;Komen-Waasten;8953;9383;18336
58000;Arrondissement La Louvière;69022;73191;142213
58001;La Louvière;39649;41733;81382
58002;Binche;16081;17568;33649
58003;Estinnes;3953;3998;7951
58004;Morlanwelz;9339;9892;19231
60000;Provincie Luik;546431;569087;1115518
61000;Arrondissement Hoei;56847;58855;115702
61003;Amay;7089;7425;14514
61010;Burdinne;1654;1645;3299
61012;Clavier;2409;2437;4846
61019;Ferrières;2594;2522;5116
61024;Hamoir;1876;1930;3806
61028;Héron;2760;2825;5585
61031;Hoei;10501;11179;21680
61039;Marchin;2756;2792;5548
61041;Modave;2117;2102;4219
61043;Nandrin;2805;2991;5796
61048;Ouffet;1383;1445;2828
61063;Verlaine;2170;2142;4312
61068;Villers-Le-Bouillet;3311;3453;6764
61072;Wanze;6856;7223;14079
61079;Anthisnes;2086;2168;4254
61080;Engis;3141;3169;6310
61081;Tinlot;1339;1407;2746
62000;Arrondissement Luik;305500;320569;626069
62003;Ans;13751;15013;28764
62006;Awans;4464;4767;9231
62009;Aywaille;6299;6484;12783
62011;Bitsingen;4460;4592;9052
62015;Beyne-Heusay;5775;6221;11996
62022;Chaudfontaine;9848;10724;20572
62026;Comblain-au-Pont;2579;2755;5334
62027;Dalhem;3749;3917;7666
62032;Esneux;6225;6575;12800
62038;Fléron;7689;8607;16296
62051;Herstal;19742;20924;40666
62060;Juprelle;4799;4941;9740
62063;Luik;96874;98472;195346
62079;Oupeye;12420;13270;25690
62093;Saint-Nicolas (Luik);11676;12676;24352
62096;Seraing;30944;33091;64035
62099;Soumagne;8443;8879;17322
62100;Sprimont;7348;7811;15159
62108;Wezet;8761;9299;18060
62118;Grâce-Hollogne;11325;11725;23050
62119;Blegny;6568;6872;13440
62120;Flémalle;12942;13908;26850
62121;Neupré;4868;5126;9994
62122;Trooz;3951;3920;7871
63000;Arrondissement Verviers;143051;146867;289918
63001;Amel;2840;2759;5599
63003;Aubel;2068;2132;4200
63004;Baelen;2271;2247;4518
63012;Büllingen;2839;2671;5510
63013;Bütgenbach;2860;2863;5723
63020;Dison;7527;7722;15249
63023;Eupen;9799;10283;20082
63035;Herve;8799;9043;17842
63038;Jalhay;4344;4415;8759
63040;Kelmis;5533;5800;11333
63045;Lierneux;1844;1793;3637
63046;Limburg;2798;2850;5648
63048;Lontzen;3030;2978;6008
63049;Malmedy;6230;6664;12894
63057;Olne;2032;2050;4082
63058;Pepinster;4567;4713;9280
63061;Raeren;5475;5644;11119
63067;Sankt Vith;5005;5030;10035
