NIS code;Woonplaats;Mannen;Vrouwen;Totaal
01000;België;5677211;5844027;11521238
02000;Vlaams Gewest;3293617;3359445;6653062
03000;Waals Gewest;1784520;1863686;3648206
04000;Brussels Hoofdstedelijk Gewest;599074;620896;1219970
10000;Provincie Antwerpen;931025;944499;1875524
11000;Arrondissement Antwerpen;525646;534193;1059839
11001;Aartselaar;7169;7286;14455
11002;Antwerpen;265213;264204;529417
11004;Boechout;6587;6940;13527
11005;Boom;9337;9462;18799
11007;Borsbeek;5349;5728;11077
11008;Brasschaat;18328;19883;38211
11009;Brecht;14835;14974;29809
11013;Edegem;10734;11510;22244
11016;Essen;9577;9619;19196
11018;Hemiksem;5860;5862;11722
11021;Hove (Antwerpen);3996;4291;8287
11022;Kalmthout;9280;9740;19020
11023;Kapellen (Antwerpen);13299;13858;27157
11024;Kontich;10465;10795;21260
11025;Lint;4241;4334;8575
11029;Mortsel;12708;13462;26170
11030;Niel;5228;5265;10493
11035;Ranst;9626;9623;19249
11037;Rumst;7521;7625;15146
11038;Schelle;4142;4417;8559
11039;Schilde;9744;10181;19925
11040;Schoten;16516;17775;34291
11044;Stabroek;9282;9398;18680
11050;Wijnegem;4865;5219;10084
11052;Wommelgem;6434;6557;12991
11053;Wuustwezel;10733;10613;21346
11054;Zandhoven;6524;6600;13124
11055;Zoersel;10860;11282;22142
11056;Zwijndrecht;9458;9805;19263
11057;Malle;7735;7885;15620
12000;Arrondissement Mechelen;171373;177166;348539
12002;Berlaar;5809;5901;11710
12005;Bonheiden;7368;7809;15177
12007;Bornem;10570;10858;21428
12009;Duffel;8713;9001;17714
12014;Heist-op-den-Berg;21261;21835;43096
12021;Lier;17990;18933;36923
12025;Mechelen;42534;44377;86911
12026;Nijlen;11326;11659;22985
12029;Putte;8971;9138;18109
12035;Sint-Katelijne-Waver;10429;10768;21197
12040;Willebroek;13389;13692;27081
12041;Puurs-Sint-Amands;13013;13195;26208
13000;Arrondissement Turnhout;234006;233140;467146
13001;Arendonk;6611;6596;13207
13002;Baarle-Hertog;1490;1445;2935
13003;Balen;11419;11434;22853
13004;Beerse;9061;9133;18194
13006;Dessel;4839;4820;9659
13008;Geel;20509;20272;40781
