NIS code;Woonplaats;Mannen;Vrouwen;Totaal
01000;België;5708902;5875106;11584008
02000;Vlaams Gewest;3316611;3382265;6698876
03000;Waals Gewest;1792010;1870485;3662495
04000;Brussels Hoofdstedelijk Gewest;600281;622356;1222637
10000;Provincie Antwerpen;936830;949779;1886609
11000;Arrondissement Antwerpen;528087;536190;1064277
11001;Aartselaar;7242;7368;14610
11002;Antwerpen;266100;264530;530630
11004;Boechout;6705;7028;13733
11005;Boom;9359;9473;18832
11007;Borsbeek;5434;5792;11226
11008;Brasschaat;18320;19917;38237
11009;Brecht;15030;15113;30143
11013;Edegem;10837;11549;22386
11016;Essen;9682;9659;19341
11018;Hemiksem;5891;5921;11812
11021;Hove (Antwerpen);3993;4318;8311
11022;Kalmthout;9365;9814;19179
11023;Kapellen (Antwerpen);13437;14005;27442
11024;Kontich;10482;10858;21340
11025;Lint;4239;4314;8553
11029;Mortsel;12725;13464;26189
11030;Niel;5284;5311;10595
11035;Ranst;9687;9679;19366
11037;Rumst;7566;7688;15254
11038;Schelle;4219;4473;8692
11039;Schilde;9771;10260;20031
11040;Schoten;16465;17692;34157
11044;Stabroek;9322;9460;18782
11050;Wijnegem;4945;5299;10244
11052;Wommelgem;6505;6676;13181
11053;Wuustwezel;10778;10745;21523
11054;Zandhoven;6529;6643;13172
11055;Zoersel;10941;11376;22317
11056;Zwijndrecht;9452;9791;19243
11057;Malle;7782;7974;15756
12000;Arrondissement Mechelen;172636;178470;351106
12002;Berlaar;5808;5922;11730
12005;Bonheiden;7457;7862;15319
12007;Bornem;10657;10942;21599
12009;Duffel;8745;9025;17770
12014;Heist-op-den-Berg;21530;22064;43594
12021;Lier;18143;19166;37309
12025;Mechelen;42624;44372;86996
12026;Nijlen;11473;11786;23259
12029;Putte;9126;9266;18392
12035;Sint-Katelijne-Waver;10526;10865;21391
12040;Willebroek;13516;13920;27436
12041;Puurs-Sint-Amands;13031;13280;26311
13000;Arrondissement Turnhout;236107;235119;471226
13001;Arendonk;6651;6646;13297
13002;Baarle-Hertog;1523;1474;2997
13003;Balen;11486;11514;23000
13004;Beerse;9128;9250;18378
13006;Dessel;4855;4831;9686
13008;Geel;20653;20493;41146
13010;Grobbendonk;5724;5718;11442
13011;Herentals;14076;14379;28455
13012;Herenthout;4601;4686;9287
13013;Herselt;7425;7306;14731
13014;Hoogstraten;11149;10746;21895
13016;Hulshout;5285;5275;10560
13017;Kasterlee;9604;9536;19140
13019;Lille;8413;8275;16688
13021;Meerhout;5207;5051;10258
13023;Merksplas;4394;4289;8683
13025;Mol;18718;18882;37600
13029;Olen;6336;6246;12582
13031;Oud-Turnhout;7143;7259;14402
13035;Ravels;7720;7573;15293
13036;Retie;5871;5792;11663
13037;Rijkevorsel;6203;6121;12324
13040;Turnhout;23172;23200;46372
13044;Vorselaar;4013;4006;8019
13046;Vosselaar;5788;5768;11556
13049;Westerlo;12708;12600;25308
13053;Laakdal;8261;8203;16464
20001;Provincie Vlaams-Brabant;575959;597481;1173440
20002;Provincie Waals-Brabant;198872;210910;409782
21000;Arrondissement Brussel-Hoofdstad;600281;622356;1222637
21001;Anderlecht;61161;61386;122547
21002;Oudergem;16787;18199;34986
21003;Sint-Agatha-Berchem;12222;13076;25298
21004;Brussel;96458;92279;188737
21005;Etterbeek;23427;25108;48535
21006;Evere;21002;22606;43608
21007;Vorst (Brussel-Hoofdstad);27480;29136;56616
21008;Ganshoren;12168;13084;25252
21009;Elsene;42482;44570;87052
21010;Jette;25464;27287;52751
21011;Koekelberg;11039;10984;22023
21012;Sint-Jans-Molenbeek;48649;49048;97697
21013;Sint-Gillis;24583;24254;48837
21014;Sint-Joost-ten-Node;14146;12819;26965
21015;Schaarbeek;64874;65816;130690
21016;Ukkel;39676;45423;85099
21017;Watermaal-Bosvoorde;11626;13561;25187
21018;Sint-Lambrechts-Woluwe;27211;31330;58541
21019;Sint-Pieters-Woluwe;19826;22390;42216
23000;Arrondissement Halle-Vilvoorde;320260;335440;655700
23002;Asse;16961;17533;34494
23003;Beersel;12831;13182;26013
23009;Bever;1124;1141;2265
23016;Dilbeek;21335;22760;44095
23023;Galmaarden;4371;4435;8806
23024;Gooik;4635;4757;9392
23025;Grimbergen;18669;19870;38539
23027;Halle (Halle-Vilvoorde);20087;21197;41284
23032;Herne;3333;3410;6743
23033;Hoeilaart;5583;5850;11433
23038;Kampenhout;6065;6285;12350
23039;Kapelle-op-den-Bos;4674;4936;9610
23044;Liedekerke;6680;6971;13651
23045;Londerzeel;9415;9721;19136
23047;Machelen (Halle-Vilvoorde);7872;8236;16108
23050;Meise;9748;10243;19991
23052;Merchtem;8612;8895;17507
23060;Opwijk;7296;7532;14828
23062;Overijse;12684;13204;25888
23064;Pepingen;2258;2249;4507
23077;Sint-Pieters-Leeuw;17383;18103;35486
23081;Steenokkerzeel;6144;6353;12497
23086;Ternat;8025;8258;16283
23088;Vilvoorde;22517;23837;46354
23094;Zaventem;17620;18296;35916
23096;Zemst;11436;11870;23306
23097;Roosdaal;5780;5955;11735
23098;Drogenbos;2710;3060;5770
23099;Kraainem;6754;7174;13928
23100;Linkebeek;2218;2491;4709
23101;Sint-Genesius-Rode;8996;9632;18628
23102;Wemmel;8348;8834;17182
23103;Wezembeek-Oppem;6935;7553;14488
23104;Lennik;4537;4775;9312
23105;Affligem;6624;6842;13466
24000;Arrondissement Leuven;255699;262041;517740
24001;Aarschot;14995;15599;30594
24007;Begijnendijk;5095;5295;10390
24008;Bekkevoort;3278;3181;6459
24009;Bertem;5034;5224;10258
24011;Bierbeek;5141;5136;10277
24014;Boortmeerbeek;6422;6546;12968
24016;Boutersem;4131;4255;8386
24020;Diest;12051;12465;24516
24028;Geetbets;3093;3108;6201
24033;Haacht;7484;7780;15264
24038;Herent;10982;11448;22430
24041;Hoegaarden;3420;3391;6811
24043;Holsbeek;5044;5066;10110
24045;Huldenberg;4926;5091;10017
24048;Keerbergen;6387;6731;13118
24054;Kortenaken;3940;3976;7916
24055;Kortenberg;10082;10380;20462
24059;Landen;7881;8268;16149
24062;Leuven;51090;51146;102236
24066;Lubbeek;7347;7429;14776
24086;Oud-Heverlee;5697;5773;11470
24094;Rotselaar;8557;8737;17294
24104;Tervuren;11086;11766;22852
24107;Tienen;17453;18520;35973
24109;Tremelo;7544;7646;15190
24130;Zoutleeuw;4226;4365;8591
24133;Linter;3595;3681;7276
24134;Scherpenheuvel-Zichem;11575;11800;23375
24135;Tielt-Winge;5525;5512;11037
24137;Glabbeek;2618;2726;5344
25000;Arrondissement Nijvel;198872;210910;409782
25005;Bevekom;3535;3638;7173
25014;Eigenbrakel;19438;20908;40346
25015;Kasteelbrakel;5207;5431;10638
25018;Chaumont-Gistoux;5725;5960;11685
25023;Court-Saint-Etienne;5196;5407;10603
25031;Genepiën;7697;7914;15611
25037;Graven;6852;7153;14005
25043;Incourt;2775;2839;5614
25044;Itter;3427;3640;7067
25048;Geldenaken;7109;7449;14558
25050;Terhulpen;3623;3876;7499
25068;Mont-Saint-Guibert;3930;4151;8081
25072;Nijvel;13761;15324;29085
25084;Perwijs (Nijvel);4607;4906;9513
25091;Rixensart;10929;11927;22856
25105;Tubeke;13558;14216;27774
